# Exercise 13
-------------------------------------------------------------------------
# List the date difference, in days, between AddressBook creation and modification dates


mysql>  SELECT
            DATE(createdOn), DATE(modifiedOn), DATEDIFF(modifiedOn, createdOn) AS days
        FROM
            AddressBook;

+-----------------+------------------+------+
| DATE(createdOn) | DATE(modifiedOn) | days |
+-----------------+------------------+------+
| 2015-04-01      | 2015-04-19       |   18 |
| 2016-09-01      | 2015-05-13       | -477 |
| 2016-05-04      | 2016-06-16       |   43 |
| 2016-04-27      | 2015-11-02       | -177 |
| 2016-06-26      | 2015-04-06       | -447 |
| 2016-06-14      | 2016-08-06       |   53 |
| 2016-04-04      | 2016-05-02       |   28 |
| 2016-03-13      | 2014-10-07       | -523 |
| 2015-06-06      | 2016-04-06       |  305 |
| 2016-05-23      | 2016-05-10       |  -13 |
| 2015-04-08      | 2016-06-27       |  446 |
| 2014-12-11      | 2015-02-06       |   57 |
| 2016-08-28      | 2014-11-16       | -651 |
| 2016-09-06      | 2014-10-23       | -684 |
| 2016-09-11      | 2015-08-17       | -391 |
| 2014-11-07      | 2014-12-20       |   43 |
| 2016-07-02      | 2015-05-22       | -407 |
| 2016-04-21      | 2014-09-23       | -576 |
| 2015-05-29      | 2014-11-25       | -185 |
| 2016-01-09      | 2015-07-04       | -189 |
| 2016-07-03      | 2016-07-15       |   12 |
| 2016-08-14      | 2015-11-30       | -258 |
| 2016-06-14      | 2015-05-01       | -410 |
| 2015-09-29      | 2016-04-28       |  212 |
| 2016-02-02      | 2014-11-29       | -430 |
| 2016-06-08      | 2014-12-02       | -554 |
| 2015-09-12      | 2016-08-24       |  347 |
| 2014-11-02      | 2016-02-19       |  474 |
| 2015-04-17      | 2016-01-28       |  286 |
| 2015-01-23      | 2015-10-09       |  259 |
| 2015-02-23      | 2016-07-28       |  521 |
| 2016-09-09      | 2015-11-29       | -285 |
| 2016-05-02      | 2015-09-17       | -228 |
| 2015-06-21      | 2016-03-24       |  277 |
| 2014-11-22      | 2015-06-17       |  207 |
| 2015-05-28      | 2016-08-14       |  444 |
| 2015-09-09      | 2014-12-09       | -274 |
| 2015-09-13      | 2016-09-06       |  359 |
| 2016-03-12      | 2015-05-29       | -288 |
| 2016-02-18      | 2014-12-31       | -414 |
| 2016-06-11      | 2015-12-15       | -179 |
| 2014-11-06      | 2014-09-20       |  -47 |
| 2016-01-23      | 2015-05-17       | -251 |
| 2015-03-18      | 2015-05-17       |   60 |
| 2016-03-27      | 2016-06-16       |   81 |
| 2015-08-02      | 2015-05-21       |  -73 |
| 2015-09-09      | 2014-09-21       | -353 |
| 2016-03-10      | 2015-10-25       | -137 |
| 2016-05-24      | 2015-10-12       | -225 |
| 2016-03-16      | 2015-12-07       | -100 |
| 2016-02-21      | 2014-12-26       | -422 |
| 2014-10-12      | 2016-06-09       |  606 |
| 2016-01-12      | 2014-11-06       | -432 |
| 2016-06-20      | 2015-01-10       | -527 |
| 2015-04-18      | 2015-12-17       |  243 |
| 2016-01-17      | 2015-08-16       | -154 |
| 2015-05-11      | 2016-04-14       |  339 |
| 2016-09-12      | 2015-11-16       | -301 |
| 2016-08-26      | 2016-01-02       | -237 |
| 2014-10-10      | 2014-11-29       |   50 |
| 2015-08-24      | 2015-07-12       |  -43 |
| 2015-09-08      | 2016-01-11       |  125 |
| 2014-10-15      | 2015-12-24       |  435 |
| 2016-07-15      | 2015-06-30       | -381 |
| 2015-08-20      | 2014-12-10       | -253 |
| 2015-09-30      | 2015-04-17       | -166 |
| 2015-12-08      | 2016-05-28       |  172 |
| 2014-09-28      | 2015-01-18       |  112 |
| 2015-04-26      | 2015-11-16       |  204 |
| 2016-04-20      | 2016-09-05       |  138 |
| 2015-02-18      | 2016-07-18       |  516 |
| 2015-01-01      | 2015-09-24       |  266 |
| 2016-08-12      | 2014-12-19       | -602 |
| 2016-02-02      | 2016-03-06       |   33 |
| 2015-07-26      | 2015-11-07       |  104 |
| 2016-05-20      | 2016-06-15       |   26 |
| 2015-01-30      | 2015-09-13       |  226 |
| 2015-06-15      | 2015-12-08       |  176 |
| 2016-08-05      | 2015-01-02       | -581 |
| 2016-05-05      | 2016-09-11       |  129 |
| 2014-10-02      | 2016-06-18       |  625 |
| 2015-03-16      | 2015-01-07       |  -68 |
| 2015-11-30      | 2016-08-26       |  270 |
| 2016-09-12      | 2015-08-29       | -380 |
| 2016-06-30      | 2015-08-18       | -317 |
| 2015-09-04      | 2016-06-28       |  298 |
| 2015-01-10      | 2015-03-25       |   74 |
| 2014-09-19      | 2016-03-20       |  548 |
| 2014-12-23      | 2016-07-11       |  566 |
| 2015-10-06      | 2016-01-13       |   99 |
| 2015-07-03      | 2016-02-24       |  236 |
| 2015-04-07      | 2016-05-09       |  398 |
| 2015-09-16      | 2016-04-21       |  218 |
| 2016-01-14      | 2014-10-19       | -452 |
| 2016-04-28      | 2015-03-16       | -409 |
| 2016-01-22      | 2014-11-18       | -430 |
| 2014-11-11      | 2014-11-19       |    8 |
| 2016-07-16      | 2015-06-08       | -404 |
| 2016-06-15      | 2015-04-18       | -424 |
| 2016-03-10      | 2014-09-29       | -528 |
| 2014-10-01      | 2015-02-16       |  138 |
| 2015-01-07      | 2016-01-28       |  386 |
